,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
0,21985,121,0028500715,"MAR 06, 1986",NYK @ WAS,L,9,2,4,0.5,0,0,,0,0,0.0,0,1,1.0,0,0,0,0,3,4,,0
1,21985,121,0028500700,"MAR 04, 1986",NYK vs. WAS,W,26,6,9,0.667,0,0,,6,6,1.0,1,7,8.0,3,1,2,5,2,18,,0
2,21985,121,0028500696,"MAR 03, 1986",NYK @ MIL,L,22,2,9,0.222,0,0,,0,0,0.0,0,4,4.0,1,0,0,2,6,4,,0
3,21985,121,0028500687,"MAR 01, 1986",NYK vs. NJN,L,40,5,17,0.294,0,1,,5,6,0.833,4,13,17.0,0,3,2,5,4,15,,0
4,21985,121,0028500660,"FEB 25, 1986",NYK vs. BOS,L,39,8,20,0.4,0,0,,0,3,0.0,3,3,6.0,1,3,2,2,4,16,,0
5,21985,121,0028500561,"FEB 06, 1986",NYK @ UTH,L,11,3,7,0.429,0,0,,3,4,0.75,3,2,5.0,0,2,0,0,1,9,,0
6,21985,121,0028500548,"FEB 03, 1986",NYK @ SAC,L,39,8,22,0.364,0,0,,2,2,1.0,2,8,10.0,3,0,2,2,2,18,,0
7,21985,121,0028500544,"FEB 02, 1986",NYK @ LAL,W,24,3,17,0.176,0,0,,3,6,0.5,2,7,9.0,1,0,2,2,5,9,,0
8,21985,121,0028500533,"JAN 31, 1986",NYK @ PHX,W,27,4,9,0.444,0,1,,8,8,1.0,0,6,6.0,0,1,0,1,4,16,,0
9,21985,121,0028500528,"JAN 30, 1986",NYK @ DEN,L,36,9,20,0.45,0,0,,7,9,0.778,3,4,7.0,1,0,3,1,4,25,,0
10,21985,121,0028500510,"JAN 28, 1986",NYK vs. CHI,W,40,16,24,0.667,0,0,,5,5,1.0,3,13,16.0,4,1,3,4,3,37,,0
11,21985,121,0028500492,"JAN 25, 1986",NYK vs. MIL,L,36,5,11,0.455,0,1,,10,12,0.833,6,6,12.0,0,0,2,8,6,20,,0
12,21985,121,0028500485,"JAN 24, 1986",NYK @ ATL,L,33,9,18,0.5,0,0,,6,8,0.75,2,3,5.0,2,2,2,2,4,24,,0
13,21985,121,0028500474,"JAN 21, 1986",NYK vs. GOS,W,50,12,22,0.545,0,0,,5,8,0.625,3,10,13.0,3,2,4,2,1,29,,0
14,21985,121,0028500465,"JAN 20, 1986",NYK @ PHL,L,39,8,19,0.421,0,0,0.0,6,6,1.0,1,5,6.0,2,1,2,2,4,22,,0
15,21985,121,0028500454,"JAN 18, 1986",NYK @ HOU,L,43,11,22,0.5,0,0,,3,4,0.75,2,6,8.0,2,0,1,4,5,25,,0
16,21985,121,0028500446,"JAN 17, 1986",NYK @ SAN,L,37,10,19,0.526,0,0,,5,9,0.556,0,7,7.0,1,2,1,5,6,25,,0
17,21985,121,0028500441,"JAN 15, 1986",NYK @ DAL,W,43,12,25,0.48,0,0,,1,3,0.333,1,5,6.0,3,1,3,1,5,25,,0
18,21985,121,0028500427,"JAN 13, 1986",NYK vs. SAC,W,32,11,13,0.846,0,0,,2,2,1.0,3,7,10.0,3,3,4,3,1,24,,0
19,21985,121,0028500418,"JAN 11, 1986",NYK vs. POR,L,39,11,20,0.55,0,0,,7,9,0.778,0,9,9.0,6,0,1,1,5,29,,0
20,21985,121,0028500390,"JAN 07, 1986",NYK vs. IND,W,40,10,21,0.476,0,0,,4,4,1.0,1,7,8.0,3,1,4,6,5,24,,0
21,21985,121,0028500379,"JAN 04, 1986",NYK @ MIL,L,28,9,12,0.75,0,0,,3,3,1.0,1,2,3.0,1,0,2,3,4,21,,0
22,21985,121,0028500365,"JAN 02, 1986",NYK vs. WAS,L,38,2,13,0.154,0,0,,7,12,0.583,5,4,9.0,5,1,1,3,4,11,,0
23,21985,121,0028500331,"DEC 25, 1985",NYK vs. BOS,W,45,13,24,0.542,0,0,,6,8,0.75,2,9,11.0,3,2,1,4,4,32,,0
24,21985,121,0028500325,"DEC 22, 1985",NYK @ WAS,W,25,7,13,0.538,0,0,,7,10,0.7,4,5,9.0,2,1,4,6,5,21,,0
25,21985,121,0028500323,"DEC 21, 1985",NYK vs. DET,W,38,7,17,0.412,0,0,,1,2,0.5,2,6,8.0,5,2,2,5,6,15,,0
26,21985,121,0028500305,"DEC 19, 1985",NYK vs. CLE,L,42,11,20,0.55,0,0,,6,7,0.857,6,9,15.0,1,1,3,5,6,28,,0
27,21985,121,0028500297,"DEC 17, 1985",NYK vs. LAL,L,45,9,17,0.529,0,0,,10,14,0.714,3,6,9.0,4,4,1,2,2,28,,0
28,21985,121,0028500279,"DEC 14, 1985",NYK vs. SAN,W,40,10,17,0.588,0,0,,0,1,0.0,2,8,10.0,3,0,4,5,4,20,,0
29,21985,121,0028500268,"DEC 12, 1985",NYK vs. NJN,L,43,4,13,0.308,0,0,,7,12,0.583,4,16,20.0,2,0,2,7,4,15,,0
30,21985,121,0028500251,"DEC 10, 1985",NYK vs. IND,W,38,7,12,0.583,0,0,,4,7,0.571,3,15,18.0,3,1,5,5,4,18,,0
31,21985,121,0028500233,"DEC 06, 1985",NYK @ IND,L,39,5,14,0.357,0,0,,2,6,0.333,3,4,7.0,1,0,1,2,4,12,,0
32,21985,121,0028500229,"DEC 05, 1985",NYK vs. MIL,L,37,4,13,0.308,0,0,,3,4,0.75,4,5,9.0,2,1,4,7,3,11,,0
33,21985,121,0028500218,"DEC 03, 1985",NYK vs. DEN,W,27,6,9,0.667,0,0,,0,2,0.0,2,3,5.0,3,0,3,3,0,12,,0
34,21985,121,0028500199,"NOV 30, 1985",NYK vs. PHL,L,31,9,19,0.474,0,1,0.0,4,5,0.8,4,4,8.0,0,3,2,6,6,22,,0
35,21985,121,0028500188,"NOV 29, 1985",NYK @ BOS,L,39,9,21,0.429,0,0,,11,14,0.786,1,8,9.0,2,1,1,1,4,29,,0
36,21985,121,0028500178,"NOV 27, 1985",NYK @ IND,W,38,7,13,0.538,0,1,,4,7,0.571,2,8,10.0,3,0,2,3,1,18,,0
37,21985,121,0028500175,"NOV 26, 1985",NYK @ ATL,L,36,7,13,0.538,0,0,,4,6,0.667,0,5,5.0,0,0,0,5,5,18,,0
38,21985,121,0028500156,"NOV 23, 1985",NYK vs. BOS,L,39,9,20,0.45,0,0,,0,0,0.0,3,7,10.0,3,0,2,4,4,18,,0
39,21985,121,0028500136,"NOV 19, 1985",NYK vs. WAS,W,2,0,0,0.0,0,0,,0,0,0.0,0,0,0.0,0,0,1,0,0,0,,0
40,21985,121,0028500119,"NOV 16, 1985",NYK vs. ATL,W,40,9,21,0.429,0,0,,10,12,0.833,6,14,20.0,4,2,4,0,3,28,,0
41,21985,121,0028500098,"NOV 12, 1985",NYK vs. PHX,W,40,8,19,0.421,0,0,,9,11,0.818,2,7,9.0,1,1,4,4,4,25,,0
42,21985,121,0028500087,"NOV 09, 1985",NYK vs. CHI,L,35,11,21,0.524,0,0,,4,4,1.0,2,6,8.0,3,1,2,2,5,26,,0
43,21985,121,0028500070,"NOV 07, 1985",NYK vs. MIL,L,37,10,20,0.5,0,0,,4,4,1.0,2,7,9.0,1,0,2,5,4,24,,0
44,21985,121,0028500063,"NOV 05, 1985",NYK @ SEA,L,38,8,10,0.8,0,0,,6,6,1.0,2,4,6.0,2,1,1,3,4,22,,0
45,21985,121,0028500057,"NOV 03, 1985",NYK @ POR,L,45,7,18,0.389,0,0,,1,1,1.0,3,5,8.0,3,2,2,4,4,15,,0
46,21985,121,0028500052,"NOV 02, 1985",NYK @ LAC,L,44,9,20,0.45,0,0,,9,12,0.75,6,5,11.0,2,1,1,4,3,27,,0
47,21985,121,0028500036,"OCT 31, 1985",NYK @ GOS,L,36,10,22,0.455,0,0,,7,8,0.875,7,9,16.0,1,2,2,3,6,27,,0
48,21985,121,0028500030,"OCT 29, 1985",NYK @ ATL,L,37,6,15,0.4,0,0,,7,10,0.7,1,9,10.0,2,2,1,6,5,19,,0
49,21985,121,0028500012,"OCT 26, 1985",NYK vs. PHL,L,44,8,21,0.381,0,0,0.0,2,4,0.5,2,4,6.0,1,2,3,3,3,18,,0
0,21986,121,0028600755,"MAR 19, 1987",NYK vs. IND,W,7,1,1,1.0,0,0,0.0,0,0,0.0,1,3,4.0,0,0,4,0,0,2,,0
1,21986,121,0028600746,"MAR 17, 1987",NYK vs. DEN,L,26,4,12,0.333,0,0,0.0,3,5,0.6,2,1,3.0,3,0,2,3,4,11,,0
2,21986,121,0028600724,"MAR 13, 1987",NYK vs. NJN,L,41,11,24,0.458,0,0,0.0,9,10,0.9,3,2,5.0,3,4,2,2,5,31,,0
3,21986,121,0028600702,"MAR 10, 1987",NYK vs. DET,L,41,11,22,0.5,0,1,0.0,4,5,0.8,4,5,9.0,1,3,0,6,3,26,,0
4,21986,121,0028600686,"MAR 07, 1987",NYK vs. LAC,W,35,10,14,0.714,0,0,0.0,8,10,0.8,3,5,8.0,1,4,3,3,3,28,,0
5,21986,121,0028600682,"MAR 06, 1987",NYK @ CHI,W,43,13,21,0.619,0,0,0.0,5,7,0.714,2,9,11.0,5,3,4,6,4,31,,0
6,21986,121,0028600667,"MAR 04, 1987",NYK @ PHL,W,45,12,17,0.706,0,0,0.0,6,6,1.0,4,5,9.0,3,3,5,4,4,30,,0
7,21986,121,0028600662,"MAR 03, 1987",NYK vs. UTH,W,38,9,20,0.45,0,0,0.0,2,4,0.5,5,11,16.0,5,0,1,7,3,20,,0
8,21986,121,0028600654,"MAR 01, 1987",NYK @ IND,L,45,11,25,0.44,0,0,0.0,6,9,0.667,1,11,12.0,3,1,2,7,6,28,,0
9,21986,121,0028600652,"FEB 28, 1987",NYK @ WAS,L,41,9,25,0.36,0,2,0.0,5,8,0.625,2,2,4.0,7,2,2,2,3,23,,0
10,21986,121,0028600629,"FEB 24, 1987",NYK vs. POR,L,43,13,30,0.433,0,0,0.0,1,1,1.0,2,8,10.0,1,1,5,5,3,27,,0
11,21986,121,0028600613,"FEB 22, 1987",NYK @ DET,L,45,10,17,0.588,0,0,0.0,9,13,0.692,1,6,7.0,2,3,5,5,5,29,,0
12,21986,121,0028600608,"FEB 21, 1987",NYK @ NJN,L,25,6,15,0.4,0,1,0.0,4,5,0.8,2,9,11.0,3,1,1,3,5,16,,0
13,21986,121,0028600593,"FEB 19, 1987",NYK vs. CLE,W,41,7,16,0.438,0,0,0.0,5,6,0.833,4,8,12.0,1,2,2,6,5,19,,0
14,21986,121,0028600575,"FEB 16, 1987",NYK vs. PHL,L,45,11,24,0.458,0,1,0.0,2,5,0.4,4,5,9.0,3,0,2,1,4,24,,0
15,21986,121,0028600566,"FEB 14, 1987",NYK vs. CHI,L,45,12,24,0.5,0,0,0.0,3,4,0.75,2,7,9.0,2,1,4,4,4,27,,0
16,21986,121,0028600553,"FEB 11, 1987",NYK vs. MIL,L,33,11,21,0.524,0,0,0.0,7,8,0.875,4,2,6.0,2,0,1,2,5,29,,0
17,21986,121,0028600547,"FEB 10, 1987",NYK @ CLE,L,31,8,13,0.615,0,0,0.0,1,3,0.333,3,8,11.0,2,0,1,5,6,17,,0
18,21986,121,0028600539,"FEB 05, 1987",NYK vs. NJN,W,35,15,19,0.789,0,0,0.0,8,10,0.8,5,9,14.0,5,4,4,5,3,38,,0
19,21986,121,0028600519,"FEB 03, 1987",NYK @ MIL,W,42,11,21,0.524,0,1,0.0,8,10,0.8,4,8,12.0,1,1,5,3,4,30,,0
20,21986,121,0028600517,"FEB 02, 1987",NYK @ WAS,L,33,7,14,0.5,0,0,0.0,5,6,0.833,1,4,5.0,1,1,2,5,5,19,,0
21,21986,121,0028600507,"JAN 31, 1987",NYK vs. DET,L,37,13,24,0.542,0,0,0.0,11,13,0.846,6,3,9.0,1,0,2,2,4,37,,0
22,21986,121,0028600500,"JAN 30, 1987",NYK @ ATL,L,35,7,14,0.5,0,0,0.0,2,5,0.4,5,7,12.0,2,0,2,4,5,16,,0
23,21986,121,0028600482,"JAN 27, 1987",NYK vs. PHL,L,38,12,21,0.571,0,0,0.0,1,2,0.5,1,5,6.0,3,3,4,4,4,25,,0
24,21986,121,0028600463,"JAN 24, 1987",NYK @ SAN,L,37,10,16,0.625,0,0,0.0,4,6,0.667,2,5,7.0,0,0,1,5,4,24,,0
25,21986,121,0028600460,"JAN 23, 1987",NYK @ HOU,L,40,9,24,0.375,0,0,0.0,4,8,0.5,1,5,6.0,0,2,1,5,5,22,,0
26,21986,121,0028600451,"JAN 21, 1987",NYK @ DAL,L,41,12,19,0.632,0,0,0.0,3,4,0.75,2,8,10.0,2,3,7,3,3,27,,0
27,21986,121,0028600440,"JAN 19, 1987",NYK vs. BOS,W,35,8,20,0.4,0,0,0.0,6,9,0.667,0,9,9.0,1,2,0,3,5,22,,0
28,21986,121,0028600426,"JAN 17, 1987",NYK @ CLE,L,35,9,24,0.375,0,0,0.0,8,10,0.8,3,7,10.0,0,2,3,3,1,26,,0
29,21986,121,0028600398,"JAN 13, 1987",NYK vs. DAL,L,41,14,30,0.467,0,0,0.0,4,5,0.8,2,7,9.0,1,1,1,3,5,32,,0
30,21986,121,0028600389,"JAN 10, 1987",NYK vs. SAC,W,40,11,23,0.478,0,0,0.0,12,12,1.0,2,2,4.0,2,1,3,1,5,34,,0
31,21986,121,0028600381,"JAN 09, 1987",NYK @ PHL,W,40,11,19,0.579,0,0,0.0,4,5,0.8,2,8,10.0,1,0,0,7,5,26,,0
32,21986,121,0028600366,"JAN 07, 1987",NYK @ DET,L,39,12,23,0.522,0,0,0.0,6,10,0.6,5,9,14.0,2,3,4,1,5,30,,0
33,21986,121,0028600356,"JAN 06, 1987",NYK vs. ATL,W,31,9,17,0.529,0,0,0.0,13,15,0.867,4,4,8.0,3,2,2,1,3,31,,0
34,21986,121,0028600348,"JAN 03, 1987",NYK @ ATL,L,34,5,11,0.455,0,0,0.0,6,10,0.6,3,6,9.0,0,2,3,5,4,16,,0
35,21986,121,0028600327,"DEC 30, 1986",NYK vs. WAS,W,29,4,12,0.333,0,0,0.0,6,8,0.75,1,4,5.0,2,1,4,3,3,14,,0
36,21986,121,0028600312,"DEC 27, 1986",NYK vs. MIL,W,32,9,17,0.529,0,0,0.0,4,6,0.667,2,6,8.0,0,0,3,5,3,22,,0
37,21986,121,0028600300,"DEC 25, 1986",NYK vs. CHI,W,41,13,29,0.448,0,0,0.0,2,4,0.5,5,12,17.0,1,0,2,4,3,28,,0
38,21986,121,0028600288,"DEC 22, 1986",NYK vs. SAN,W,45,12,26,0.462,0,0,0.0,5,8,0.625,3,12,15.0,4,2,1,7,4,29,,0
39,21986,121,0028600275,"DEC 20, 1986",NYK vs. IND,L,26,6,11,0.545,0,0,0.0,8,9,0.889,0,6,6.0,1,0,1,4,6,20,,0
40,21986,121,0028600268,"DEC 18, 1986",NYK vs. NJN,L,40,10,16,0.625,0,0,0.0,5,11,0.455,2,11,13.0,1,2,3,4,4,25,,0
41,21986,121,0028600254,"DEC 16, 1986",NYK vs. BOS,L,36,7,16,0.438,0,0,0.0,3,5,0.6,4,5,9.0,0,1,1,2,6,17,,0
42,21986,121,0028600243,"DEC 13, 1986",NYK vs. ATL,L,41,16,20,0.8,0,0,0.0,11,13,0.846,2,4,6.0,2,0,3,6,4,43,,0
43,21986,121,0028600214,"DEC 10, 1986",NYK @ WAS,L,29,9,17,0.529,0,0,0.0,3,4,0.75,4,4,8.0,2,2,7,3,3,21,,0
44,21986,121,0028600209,"DEC 09, 1986",NYK vs. LAL,L,36,8,19,0.421,0,0,0.0,4,6,0.667,7,8,15.0,2,4,1,5,3,20,,0
45,21986,121,0028600207,"DEC 07, 1986",NYK @ POR,L,27,6,11,0.545,0,0,0.0,5,7,0.714,2,3,5.0,0,0,5,1,3,17,,0
46,21986,121,0028600192,"DEC 05, 1986",NYK @ UTH,L,31,6,15,0.4,0,0,0.0,3,4,0.75,3,7,10.0,1,4,2,2,1,15,,0
47,21986,121,0028600189,"DEC 04, 1986",NYK @ LAC,W,28,6,10,0.6,0,0,0.0,5,6,0.833,1,9,10.0,2,1,1,5,3,17,,0
48,21986,121,0028600172,"DEC 02, 1986",NYK @ PHX,L,27,4,9,0.444,0,0,0.0,4,7,0.571,3,4,7.0,2,0,0,7,5,12,,0
49,21986,121,0028600164,"NOV 29, 1986",NYK vs. CLE,L,37,11,15,0.733,0,0,0.0,4,15,0.267,3,9,12.0,0,2,2,2,4,26,,0
50,21986,121,0028600149,"NOV 26, 1986",NYK @ BOS,L,37,11,19,0.579,0,0,0.0,3,6,0.5,4,7,11.0,1,4,2,2,0,25,,0
51,21986,121,0028600120,"NOV 21, 1986",NYK @ CHI,L,38,3,11,0.273,0,0,0.0,0,0,0.0,1,8,9.0,0,1,2,4,5,6,,0
52,21986,121,0028600108,"NOV 19, 1986",NYK @ PHL,L,24,3,8,0.375,0,0,0.0,4,5,0.8,0,7,7.0,0,3,1,2,6,10,,0
53,21986,121,0028600090,"NOV 15, 1986",NYK vs. WAS,W,32,6,11,0.545,0,1,0.0,2,2,1.0,3,6,9.0,1,0,2,6,4,14,,0
54,21986,121,0028600084,"NOV 14, 1986",NYK @ MIL,L,26,7,15,0.467,0,0,0.0,1,3,0.333,1,3,4.0,0,0,1,1,4,15,,0
55,21986,121,0028600061,"NOV 11, 1986",NYK vs. PHX,W,39,2,6,0.333,0,0,0.0,3,7,0.429,2,9,11.0,2,2,5,1,3,7,,0
56,21986,121,0028600058,"NOV 09, 1986",NYK @ LAL,L,31,4,9,0.444,0,0,0.0,6,6,1.0,0,9,9.0,2,1,0,5,3,14,,0
57,21986,121,0028600054,"NOV 08, 1986",NYK @ SEA,L,21,4,9,0.444,0,0,0.0,7,8,0.875,1,7,8.0,0,1,1,0,4,15,,0
58,21986,121,0028600041,"NOV 06, 1986",NYK @ SAC,W,20,1,4,0.25,0,0,0.0,1,2,0.5,2,3,5.0,1,1,0,2,5,3,,0
59,21986,121,0028600023,"NOV 04, 1986",NYK @ DEN,L,31,7,9,0.778,0,0,0.0,2,2,1.0,1,8,9.0,1,0,1,7,5,16,,0
60,21986,121,0028600024,"NOV 03, 1986",NYK @ GOS,L,29,3,6,0.5,0,0,0.0,1,2,0.5,1,3,4.0,0,0,3,4,4,7,,0
61,21986,121,0028600014,"NOV 01, 1986",NYK vs. CHI,L,39,3,10,0.3,0,0,0.0,7,8,0.875,1,4,5.0,2,0,1,2,5,13,,0
62,21986,121,0028600004,"OCT 31, 1986",NYK @ NJN,L,31,5,13,0.385,0,0,0.0,2,2,1.0,1,7,8.0,2,2,2,3,3,12,,0
0,21987,121,0028700935,"APR 23, 1988",NYK @ IND,W,40,8,16,0.5,0,0,0.0,3,3,1.0,1,9,10.0,4,2,4,10,5,19,,0
1,21987,121,0028700926,"APR 22, 1988",NYK @ MIL,L,36,9,15,0.6,0,0,0.0,7,10,0.7,4,6,10.0,0,0,6,4,3,25,,0
2,21987,121,0028700910,"APR 19, 1988",NYK vs. CHI,L,44,12,22,0.545,0,0,0.0,2,2,1.0,3,5,8.0,2,2,3,3,1,26,,0
3,21987,121,0028700890,"APR 16, 1988",NYK @ ATL,W,30,5,9,0.556,0,0,0.0,4,4,1.0,5,8,13.0,2,2,2,5,3,14,,0
4,21987,121,0028700885,"APR 15, 1988",NYK vs. WAS,L,41,8,16,0.5,0,0,0.0,3,4,0.75,2,9,11.0,1,1,8,9,5,19,,0
5,21987,121,0028700869,"APR 13, 1988",NYK vs. IND,W,26,18,24,0.75,0,0,0.0,5,6,0.833,6,5,11.0,2,2,1,1,2,41,,0
6,21987,121,0028700859,"APR 11, 1988",NYK vs. DET,W,42,11,15,0.733,0,0,0.0,14,20,0.7,5,3,8.0,1,2,1,2,2,36,,0
7,21987,121,0028700855,"APR 10, 1988",NYK @ WAS,W,24,5,10,0.5,0,0,0.0,4,6,0.667,3,1,4.0,1,1,1,4,5,14,,0
8,21987,121,0028700844,"APR 08, 1988",NYK @ CHI,L,39,16,20,0.8,0,1,0.0,10,13,0.769,2,8,10.0,2,1,2,3,4,42,,0
9,21987,121,0028700826,"APR 05, 1988",NYK @ PHL,W,30,5,9,0.556,0,0,0.0,3,6,0.5,3,1,4.0,2,3,0,3,5,13,,0
10,21987,121,0028700807,"APR 02, 1988",NYK vs. HOU,W,34,14,20,0.7,0,0,0.0,8,9,0.889,3,9,12.0,2,3,3,2,4,36,,0
11,21987,121,0028700796,"MAR 31, 1988",NYK @ MIL,W,39,8,11,0.727,0,0,0.0,2,5,0.4,3,8,11.0,2,1,3,6,4,18,,0
12,21987,121,0028700788,"MAR 29, 1988",NYK @ CLE,L,36,8,13,0.615,0,0,0.0,3,4,0.75,2,11,13.0,2,0,2,3,2,19,,0
13,21987,121,0028700781,"MAR 28, 1988",NYK vs. DAL,W,30,9,15,0.6,0,0,0.0,3,5,0.6,1,4,5.0,3,1,3,3,4,21,,0
14,21987,121,0028700770,"MAR 26, 1988",NYK vs. BOS,L,26,10,13,0.769,0,0,0.0,5,7,0.714,2,5,7.0,1,1,1,2,4,25,,0
15,21987,121,0028700758,"MAR 24, 1988",NYK @ HOU,L,27,8,14,0.571,0,0,0.0,2,6,0.333,4,1,5.0,1,0,3,3,2,18,,0
16,21987,121,0028700747,"MAR 22, 1988",NYK @ DAL,L,32,7,14,0.5,0,0,0.0,4,4,1.0,2,7,9.0,2,1,2,2,3,18,,0
17,21987,121,0028700742,"MAR 21, 1988",NYK @ SAN,W,34,10,15,0.667,0,0,0.0,3,9,0.333,3,5,8.0,1,1,1,3,6,23,,0
18,21987,121,0028700732,"MAR 19, 1988",NYK vs. ATL,W,39,9,16,0.563,0,0,0.0,5,7,0.714,2,9,11.0,1,2,1,3,3,23,,0
19,21987,121,0028700714,"MAR 16, 1988",NYK @ PHL,L,41,13,18,0.722,0,0,0.0,2,3,0.667,5,3,8.0,2,2,3,3,5,28,,0
20,21987,121,0028700704,"MAR 14, 1988",NYK vs. CLE,W,35,8,17,0.471,0,0,0.0,3,4,0.75,5,5,10.0,1,1,0,1,5,19,,0
21,21987,121,0028700691,"MAR 12, 1988",NYK vs. UTH,W,33,9,15,0.6,0,0,0.0,3,4,0.75,3,7,10.0,1,0,4,4,5,21,,0
22,21987,121,0028700685,"MAR 11, 1988",NYK @ ATL,L,14,3,9,0.333,0,0,0.0,2,4,0.5,0,1,1.0,1,2,2,2,6,8,,0
23,21987,121,0028700672,"MAR 09, 1988",NYK vs. LAL,L,32,5,14,0.357,0,1,0.0,6,8,0.75,4,2,6.0,0,0,3,3,5,16,,0
24,21987,121,0028700662,"MAR 07, 1988",NYK vs. CHI,W,33,5,9,0.556,0,0,0.0,3,4,0.75,2,6,8.0,2,1,2,2,5,13,,0
25,21987,121,0028700651,"MAR 05, 1988",NYK @ NJN,L,30,10,14,0.714,0,0,0.0,2,2,1.0,6,0,6.0,1,1,1,7,5,22,,0
26,21987,121,0028700647,"MAR 04, 1988",NYK vs. PHL,W,24,4,7,0.571,0,0,0.0,2,2,1.0,3,3,6.0,0,0,2,2,2,10,,0
27,21987,121,0028700630,"MAR 01, 1988",NYK vs. IND,W,37,12,25,0.48,0,0,0.0,4,7,0.571,10,6,16.0,1,0,4,2,3,28,,0
28,21987,121,0028700619,"FEB 28, 1988",NYK @ DEN,L,32,6,13,0.462,0,0,0.0,11,12,0.917,0,5,5.0,2,0,5,1,3,23,,0
29,21987,121,0028700604,"FEB 26, 1988",NYK @ GOS,W,29,5,9,0.556,0,0,0.0,3,3,1.0,2,6,8.0,0,4,2,3,5,13,,0
30,21987,121,0028700597,"FEB 25, 1988",NYK @ LAC,W,32,5,12,0.417,0,0,0.0,6,10,0.6,3,5,8.0,2,1,2,1,5,16,,0
31,21987,121,0028700584,"FEB 23, 1988",NYK vs. MIL,W,36,5,12,0.417,0,0,0.0,3,6,0.5,1,4,5.0,4,1,4,5,3,13,,0
32,21987,121,0028700579,"FEB 22, 1988",NYK @ BOS,L,29,9,20,0.45,0,0,0.0,3,3,1.0,5,7,12.0,0,2,4,2,3,21,,0
33,21987,121,0028700556,"FEB 18, 1988",NYK vs. SAC,W,27,4,9,0.444,0,0,0.0,4,6,0.667,2,8,10.0,2,2,7,4,4,12,,0
34,21987,121,0028700549,"FEB 16, 1988",NYK @ IND,L,39,8,14,0.571,0,0,0.0,6,7,0.857,1,6,7.0,1,2,3,4,4,22,,0
35,21987,121,0028700541,"FEB 15, 1988",NYK vs. NJN,W,38,7,15,0.467,0,0,0.0,4,12,0.333,6,11,17.0,1,1,5,3,5,18,,0
36,21987,121,0028700530,"FEB 13, 1988",NYK vs. CLE,W,23,8,9,0.889,0,0,0.0,2,3,0.667,2,1,3.0,2,0,1,2,5,18,,0
37,21987,121,0028700508,"FEB 10, 1988",NYK @ DET,L,34,3,8,0.375,0,0,0.0,4,6,0.667,1,2,3.0,2,0,2,2,2,10,,0
38,21987,121,0028700495,"FEB 04, 1988",NYK vs. DET,W,40,10,16,0.625,0,0,0.0,5,8,0.625,3,4,7.0,2,1,4,4,5,25,,0
39,21987,121,0028700477,"FEB 02, 1988",NYK vs. WAS,W,39,9,13,0.692,0,0,0.0,4,6,0.667,6,9,15.0,0,2,4,3,4,22,,0
40,21987,121,0028700463,"JAN 30, 1988",NYK @ CHI,L,34,8,20,0.4,0,0,0.0,2,4,0.5,3,5,8.0,2,2,1,3,1,18,,0
41,21987,121,0028700450,"JAN 28, 1988",NYK @ WAS,L,23,4,14,0.286,0,0,0.0,2,2,1.0,2,3,5.0,1,2,7,4,5,10,,0
42,21987,121,0028700441,"JAN 26, 1988",NYK vs. NJN,W,28,6,10,0.6,0,0,0.0,6,7,0.857,2,2,4.0,0,1,5,5,3,18,,0
43,21987,121,0028700423,"JAN 23, 1988",NYK @ SAC,L,37,6,10,0.6,0,0,0.0,1,2,0.5,2,6,8.0,0,1,8,3,6,13,,0
44,21987,121,0028700417,"JAN 22, 1988",NYK @ LAL,L,33,8,15,0.533,0,0,0.0,5,7,0.714,4,2,6.0,1,2,2,6,3,21,,0
45,21987,121,0028700405,"JAN 20, 1988",NYK @ SEA,L,27,8,11,0.727,0,0,0.0,3,7,0.429,4,4,8.0,0,0,2,7,3,19,,0
46,21987,121,0028700399,"JAN 18, 1988",NYK vs. ATL,W,31,7,18,0.389,0,0,0.0,6,6,1.0,5,1,6.0,0,0,2,2,4,20,,0
47,21987,121,0028700384,"JAN 16, 1988",NYK vs. PHL,W,33,6,10,0.6,0,0,0.0,1,2,0.5,4,17,21.0,5,0,6,4,5,13,,0
48,21987,121,0028700376,"JAN 15, 1988",NYK @ PHL,L,26,8,15,0.533,0,0,0.0,4,5,0.8,2,0,2.0,1,3,5,2,5,20,,0
49,21987,121,0028700360,"JAN 12, 1988",NYK @ CLE,L,25,7,13,0.538,0,0,0.0,7,8,0.875,3,4,7.0,1,0,4,4,4,21,,0
50,21987,121,0028700347,"JAN 09, 1988",NYK vs. BOS,W,26,7,10,0.7,0,0,0.0,3,7,0.429,3,9,12.0,1,1,2,1,4,17,,0
51,21987,121,0028700345,"JAN 08, 1988",NYK @ NJN,L,26,12,17,0.706,0,0,0.0,7,8,0.875,1,5,6.0,1,2,2,4,5,31,,0
52,21987,121,0028700329,"JAN 06, 1988",NYK @ BOS,L,26,6,11,0.545,0,0,0.0,2,2,1.0,1,5,6.0,3,1,2,4,5,14,,0
53,21987,121,0028700325,"JAN 05, 1988",NYK vs. PHX,L,32,7,14,0.5,0,0,0.0,2,5,0.4,3,5,8.0,1,3,3,4,5,16,,0
54,21987,121,0028700302,"JAN 01, 1988",NYK vs. LAC,W,29,8,17,0.471,0,0,0.0,2,3,0.667,5,9,14.0,1,1,1,4,4,18,,0
